SampleID,Customer Name,Attention,Address 1,Address 2,Address 3,Post Code,Telephone,Fax Number,Unique Code,Customer Reference,Second Customer Reference,Serial Number,General Description,System Description,Manufacturer,Model,Oil/Fluid Long Name,Oil/Fluid Short Name,Unit Type,Test Suite,Laboratory Ref,Unit Hours,Oil/Fluid Hours,Oil/Fluid Added,Completed Date,Date Taken,Alert Level,Ticket Number,Analyst,Aircraft Registration,Receipt Date,Booked In date,Site,Fuel Type,Prepaid,Sample Reason,Oil Changed,Lab Memo,Billing Date,Due Date,Delivery Reference,Oil/Fluid ID,Billing Completed,Viscosity at 40°C (cSt),Viscosity at 100°C (cSt),Water (% wt),Soot by FTIR (% wt),TAN (mgKOH/g),TBN (mgKOH/g),Phosphorus (% wt),Zinc (% wt),Calcium (% wt),Barium (% wt),Magnesium (% wt),Aluminium (ppm),Iron (ppm),Chromium (ppm),Copper (ppm),Lead (ppm),Tin (ppm),Silicon (ppm),Sodium (ppm),Boron (ppm),Vanadium (ppm),Molybdenum (ppm),Nickel (ppm),Silver (ppm),Titanium (ppm),Manganese (ppm),Cadmium (ppm),Antimony (ppm),Lithium (ppm),Sulphur (ICP) (ppm),Chlorine (ICP) (ppm),PS 4 - 6 µm (per 100ml),PS 6 - 14 µm (per 100ml),PS 14 - 21 µm (per 100ml),PS 21 - 38 µm (per 100ml),PS > 38 µm (per 100ml),ISO 4406 1999 (4>6>14µm),Oxidation (Abs/cm),Nitration (Abs/cm),Glycol (POS/NEG),IpH (pH Units),TGA (NA) (% wt),Volume/ Capacity,Component Serial Number,Cobalt (ppm),Potassium (ppm),Sulphur (Multiple),Chlorine (Multiple)
153082,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0609,J S564,-,1113035,München Westendstr.,-,Jenbacher,J 416 GS-B09,Shell Mysella S5 N 40,-,E,GEJ-01,GEAG73345,22761,-,-,04/01/2022 16:12 04/01,29/12/2021 00:00 29/12,Advanced (Red),1000728,willr,-,30/12/2021 16:00 30/12,31/12/2021 09:20:18,-,-,True,Routine,-,NO INFORMATION ON LABEL ABOUT OIL OR DATE OF LAST OIL CHANGE,04/01/2022 15:12:13,04/01/2022 16:00:00,-,138,Y,125,14.4,<0.05,0.03,2.55,4.5,0.0304,0.0346,0.1999,<0.0001,0.0008,3,12,1,1,<1,1,3,9,5,<1,<1,<1,<1,<1,<1,<1,<1,<1,2355,<15,-,-,-,-,-,-,26,1,NEG,6.67,-,-,-,-,1,2355,<15,
153716,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0642,J T966,-,1175579,BMW Regensburg - M5,-,Jenbacher,J616 GS,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73878,40042,2500,-,17/01/2022 16:09 17/01,10/01/2022 00:00 10/01,Advanced (Red),1028033,willr,-,13/01/2022 15:12 13/01,13/01/2022 15:13:33,-,0,True,Routine,-,-,17/01/2022 15:08:53,17/01/2022 15:12:00,-,244,Y,134,14.9,<0.05,0.07,4.21,3.1,0.0307,0.0380,0.1962,<0.0001,0.0012,3,12,1,<1,3,<1,3,4,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2441,<15,-,-,-,-,-,-,12,5,NEG,5.39,-,648,-,-,<1,2441,<15,
163988,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0647,J U104,-,1180988,SW Stassfurt,-,Jenbacher,JMS 312 GS-N.LC,Jenbacher N Oil 40,-,E,GEJ-01,GEAG74156,26373,984,-,22/01/2022 12:32 22/01,18/01/2022 00:00 18/01,Normal (Green),1032906,anthonymann,-,19/01/2022 12:00 19/01,19/01/2022 16:29:30,-,-,True,Routine,Y,-,22/01/2022 12:32:03,21/01/2022 12:00:00,-,244,N,120,13.9,<0.05,0.06,2.63,4.4,0.0314,0.0375,0.1886,<0.0001,0.0007,3,3,<1,<1,<1,<1,3,<1,15,<1,4,<1,<1,<1,<1,<1,<1,<1,2360,<15,-,-,-,-,-,-,5,4,NEG,5.97,-,k.A.,-,-,<1,2360,<15,
152947,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0649,J U104,-,1180984,SW Stassfurt,Motor 2,Jenbacher,JMS 312 GS-N.LC,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73213,25898,2054,-,01/01/2022 18:11 01/01,27/12/2021 00:00 27/12,Early (Yellow),1032907,nilay,-,28/12/2021 13:00 28/12,28/12/2021 16:28:55,-,-,True,Routine,Y,-,01/01/2022 12:11:11,30/12/2021 01:00:00,-,244,Y,128,14.4,<0.05,0.04,3.72,3.2,0.0306,0.0365,0.1991,<0.0001,0.0007,4,3,<1,<1,<1,<1,2,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2413,<15,-,-,-,-,-,-,10,7,NEG,5.42,-,k.A.,-,<1,<1,2413,<15,
153564,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0654,T610,-,1159769,Porsche AG,Werk 4  Bau 26,Jenbacher,JMS 612 GS-N.LC,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73727,18530,2395,-,13/01/2022 17:44 13/01,30/12/2021 00:00 30/12,Normal (Green),1028765,andy,-,10/01/2022 14:34 10/01,10/01/2022 14:35:53,-,-,True,Routine,-,-,13/01/2022 17:44:32,12/01/2022 14:34:00,-,244,Y,147,14.6,<0.05,0.06,3.28,3.6,0.0305,0.0369,0.1964,<0.0001,0.0007,3,8,<1,<1,<1,<1,2,6,3,<1,<1,<1,<1,<1,<1,<1,<1,<1,2371,<15,-,-,-,-,-,-,11,3,NEG,5.88,-,k.A.,-,<1,<1,2371,<15,
153192,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0654,T610,-,1159769,Porsche AG,Werk 4  Bau 26,Jenbacher,JMS 612 GS-N.LC,Jenbacher N Oil 40,-,E,GEJ-01,GEUK45758,18165,2030,-,06/01/2022 08:44 06/01,14/12/2021 00:00 14/12,Normal (Green),1028762,Neil,-,30/12/2021 12:30 30/12,30/12/2021 14:43:22,-,-,True,Routine,-,-,06/01/2022 08:43:18,04/01/2022 12:30:00,-,244,Y,128,14.3,<0.05,<0.01,3.00,4.1,0.0307,0.0388,0.1986,<0.0001,0.0006,3,7,<1,<1,1,<1,2,5,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,2214,<15,-,-,-,-,-,-,7,2,NEG,5.83,-,k.A.,-,-,<1,2214,<15,
152891,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0794,P02-SCE6,-,-,Test Bench P02,Main Oil Circuit,Jenbacher,SCE 6,Jenbacher N Oil 40,-,E,GEJ-01,GEUK45694,1167,149,-,04/01/2022 10:28 04/01,20/12/2021 00:00 20/12,Normal (Green),998452,Neil,-,23/12/2021 16:30 23/12,23/12/2021 16:51:02,Test Bench P02,NG,True,Routine,-,-,04/01/2022 10:27:48,29/12/2021 16:30:00,-,244,Y,117,13.4,<0.05,0.01,1.58,7.0,0.0283,0.0311,0.2102,<0.0001,0.0007,2,3,<1,<1,<1,<1,2,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2565,<15,-,-,-,-,-,-,4,<1,NEG,7.99,-,450,-,-,<1,2565,<15,
163949,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0795,P06-612,-,1238722,Test Bench P06,-,Jenbacher,J612,Jenbacher N Oil 40,-,E,GEJ-01,GEUK45799,10425,823,-,21/01/2022 07:23 21/01,11/01/2022 00:00 11/01,Normal (Green),1048265,Neil,-,18/01/2022 10:30 18/01,18/01/2022 11:06:55,Test Bench P6,-,True,Routine,-,-,21/01/2022 07:22:44,20/01/2022 10:30:00,-,244,N,126,14.1,<0.05,<0.01,2.16,5.1,0.0315,0.0342,0.1886,<0.0001,0.0006,<1,5,<1,<1,<1,<1,2,5,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2034,<15,-,-,-,-,-,-,7,2,NEG,6.42,-,580,-,-,1,2034,<15,
153654,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0803,-,-,1243362,BMW Regensburg,-,Jenbacher,J616 GS,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73816,70754,2532,-,14/01/2022 20:37 14/01,28/12/2021 00:00 28/12,Normal (Green),1028032,andy,-,12/01/2022 13:23 12/01,12/01/2022 14:40:32,-,0,True,Routine,-,-,14/01/2022 20:36:54,14/01/2022 13:23:00,-,244,Y,135,15.0,<0.05,0.07,3.61,3.4,0.0297,0.0369,0.1900,<0.0001,0.0012,3,12,<1,<1,2,<1,4,4,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2360,<15,-,-,-,-,-,-,13,4,NEG,5.41,-,648,-,-,<1,-,-,
153458,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0804,AG 39,-,1472109,BHKW II Landau-Süd,-,Jenbacher,JMS 320,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73625,4620,1224,129,11/01/2022 20:28 11/01,05/01/2022 00:00 05/01,Normal (Green),995849,andy,-,07/01/2022 15:25 07/01,07/01/2022 15:27:41,-,-,True,Routine,-,-,11/01/2022 20:28:14,11/01/2022 15:25:00,-,244,Y,132,15.2,<0.05,0.05,3.21,3.6,0.0327,0.0409,0.2085,<0.0001,0.0008,4,4,<1,3,<1,<1,3,3,7,<1,<1,<1,<1,<1,<1,<1,<1,<1,2262,<15,-,-,-,-,-,-,11,4,NEG,5.65,-,648,-,<1,<1,2262,<15,
153566,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0805,AH 93,-,1476101,BGA Lüns,-,Jenbacher,JMS 316 GS-B.LC,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73729,9034,4370,-,13/01/2022 10:51 13/01,07/01/2022 00:00 07/01,Advanced (Red),1038375,Neil,-,10/01/2022 14:34 10/01,10/01/2022 14:35:58,-,-,True,Routine,-,-,13/01/2022 09:50:56,12/01/2022 14:34:00,-,244,Y,133,14.8,<0.05,0.05,3.96,3.7,0.0326,0.0403,0.2195,<0.0001,0.0012,5,5,<1,6,5,<1,2,2,2,<1,1,<1,<1,<1,<1,<1,<1,<1,2389,<15,-,-,-,-,-,-,11,6,NEG,5.52,-,648,-,<1,<1,2389,<15,
153433,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0829,-,-,1413660,BGA Friedland 4,-,Jenbacher,JMS 312 GS-BL,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73600,20447,689,1,11/01/2022 19:30 11/01,03/01/2022 00:00 03/01,Normal (Green),1030157,andy,-,07/01/2022 15:25 07/01,07/01/2022 15:26:36,-,-,True,Routine,-,-,11/01/2022 19:30:32,11/01/2022 15:25:00,-,244,Y,120,13.7,<0.05,0.04,1.62,5.6,0.0322,0.0360,0.1915,<0.0001,0.0008,3,2,<1,<1,<1,<1,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2458,<15,-,-,-,-,-,-,4,3,NEG,7.14,-,-,-,-,<1,2458,<15,
153664,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0831,-,-,1254261,Privatmolkerei Bauer,Gas Engine,Jenbacher,JMS 420 GS-N.LC,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73826,5332,489,226,14/01/2022 20:26 14/01,07/01/2022 00:00 07/01,Normal (Green),1020200,andy,1481080,12/01/2022 13:23 12/01,12/01/2022 14:53:18,-,BG,True,Routine,-,-,14/01/2022 20:25:42,14/01/2022 13:23:00,-,244,Y,124,14.2,<0.05,0.06,2.27,5.6,0.0320,0.0375,0.2084,<0.0001,0.0008,4,3,<1,<1,<1,<1,3,2,7,<1,<1,<1,<1,<1,<1,<1,<1,<1,2724,<15,-,-,-,-,-,-,6,3,NEG,7.17,-,648,-,-,<1,2724,<15,
153011,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0839,JI 448,-,1250501,BMW Regensburg M1,-,Jenbacher,J616 GS,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73274,69670,523,-,01/01/2022 17:09 01/01,20/12/2021 00:00 20/12,Normal (Green),1028030,nilay,-,29/12/2021 13:00 29/12,29/12/2021 23:18:30,-,0,True,Routine,Y,-,01/01/2022 11:09:12,31/12/2021 13:00:00,-,244,Y,125,14.2,<0.05,0.05,2.16,5.2,0.0303,0.0348,0.1905,<0.0001,0.0012,3,3,<1,<1,<1,<1,1,2,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2382,<15,-,-,-,-,-,-,6,2,NEG,6.99,-,648,-,<1,<1,2382,<15,
153576,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0861,AH 94,-,1476148,Naturenergie Altenautal,-,Jenbacher,JMC 316 GS BLC,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73739,2304,2304,-,13/01/2022 11:24 13/01,07/01/2022 00:00 07/01,Normal (Green),1038389,Neil,-,10/01/2022 14:34 10/01,10/01/2022 14:36:23,Naturenergie Altenautal,-,True,Routine,-,-,13/01/2022 10:23:37,12/01/2022 14:34:00,-,244,Y,147,14.6,<0.05,0.05,3.13,4.7,0.0320,0.0383,0.2081,<0.0001,0.0013,4,5,<1,8,<1,<1,3,2,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,2369,<15,-,-,-,-,-,-,8,2,NEG,6.01,-,-,-,<1,<1,2369,<15,
153149,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0861,AH 94,-,1476148,Naturenergie Altenautal,-,Jenbacher,JMC 316 GS BLC,Jenbacher N Oil 40,-,E,GEJ-01,GEUK45715,1779,1779,-,05/01/2022 09:44 05/01,16/12/2021 00:00 16/12,Normal (Green),1038388,Neil,-,30/12/2021 12:30 30/12,30/12/2021 13:49:56,Naturenergie Altenautal,-,True,Routine,-,-,05/01/2022 09:44:09,04/01/2022 12:30:00,-,244,Y,128,14.3,<0.05,<0.01,2.60,5.1,0.0316,0.0376,0.2022,<0.0001,0.0012,4,5,<1,7,2,<1,2,2,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,2218,<15,-,-,-,-,-,-,5,2,NEG,6.12,-,-,-,-,<1,2218,<15,
163984,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0874,-,-,1476569,Stadtwerke Bühl,Gas Engine,JMS,412,Jenbacher N Oil 40,-,E,GEJ-01,GEAG74140,1025,1025,-,21/01/2022 18:11 21/01,14/01/2022 00:00 14/01,Normal (Green),1041145,ling,-,18/01/2022 12:00 18/01,18/01/2022 14:09:21,-,-,True,Routine,-,no information about oil fluid on label,21/01/2022 18:11:04,20/01/2022 12:00:00,-,244,N,125,14.3,<0.05,0.06,2.02,5.4,0.0355,0.0419,0.2251,<0.0001,0.0010,4,4,<1,<1,<1,<1,2,2,4,<1,<1,<1,<1,<1,<1,<1,<1,<1,2496,<15,-,-,-,-,-,-,8,2,NEG,7.14,-,-,-,<1,<1,2496,<15,
152747,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0874,J AI11,-,1476569,Stadtwerke Bühl,Gas Engine,JMS,412,Jenbacher N Oil 40,-,E,GEJ-01,GEUK45801,224,224,-,24/01/2022 07:26 24/01,24/11/2021 00:00 24/11,Normal (Green),1041146,Neil,-,15/12/2021 14:55 15/12,19/01/2022 07:35:13,-,-,False,Routine,-,-,24/01/2022 07:17:27,21/01/2022 07:35:00,-,244,N,118,13.5,<0.05,0.01,1.72,7.1,0.0293,0.0347,0.1787,<0.0001,0.0009,3,3,<1,<1,<1,<1,4,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2083,<15,-,-,-,-,-,-,2,<1,NEG,7.85,-,-,-,-,<1,2083,<15,
163982,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0874,-,-,1476569,Stadtwerke Bühl,Gas Engine,JMS,412,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73694,875,875,-,12/01/2022 19:46 12/01,06/01/2022 00:00 06/01,Normal (Green),1041142,andy,-,10/01/2022 14:24 10/01,10/01/2022 14:26:29,-,-,True,Routine,-,-,12/01/2022 19:46:11,12/01/2022 14:24:00,-,244,N,125,14.2,<0.05,0.05,1.71,5.7,0.0333,0.0405,0.2206,<0.0001,0.0010,4,4,<1,<1,<1,<1,2,3,3,<1,<1,<1,<1,<1,<1,<1,<1,<1,2491,<15,-,-,-,-,-,-,7,2,NEG,7.34,-,-,-,<1,<1,2491,<15,
163968,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0874,-,-,1476569,Stadtwerke Bühl,Gas Engine,JMS,412,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73219,723,723,-,04/01/2022 15:53 04/01,23/12/2021 00:00 23/12,Normal (Green),1041140,willr,-,28/12/2021 13:00 28/12,28/12/2021 16:37:33,-,-,True,Routine,-,-,04/01/2022 14:53:07,30/12/2021 01:00:00,-,244,N,124,14.1,<0.05,0.05,2.02,5.7,0.0343,0.0403,0.2183,<0.0001,0.0010,4,3,<1,<1,<1,<1,2,2,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,2504,<15,-,-,-,-,-,-,6,2,NEG,7.49,-,-,-,<1,<1,2504,<15,
152934,INNIO Jenbacher,Stefan Zaderer,-,-,-,-,-,-,GE0004.0877,J AQ66,-,1618328,Sá Relvas Energia,Gas Engine,Jenbacher,J316 GS-FOZ,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73201,1604,1604,-,05/01/2022 19:11 05/01,10/12/2021 00:00 10/12,Normal (Green),1056255,andy,-,24/12/2021 14:00 24/12,27/12/2021 13:00:23,-,-,True,Routine,-,Confirm engine details and contacts.,05/01/2022 19:10:52,28/12/2021 14:00:00,-,244,Y,123,13.4,0.0646,0.04,1.86,4.0,0.0286,0.0341,0.1900,<0.0001,0.0010,1,2,<1,4,<1,<1,2,1,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,2603,<15,-,-,-,-,-,-,<1,3,NEG,7.45,-,-,-,<1,<1,2603,<15,
